scheme_id,scheme_name,category,government,department,description,beneficiary,eligibility,benefits,required_documents,application_mode,official_link,status
MHAG001,Namo Shetkari Mahasanmaan Nidhi Yojana (State Cash Support),Direct Income Support & Institutional Agri-Credit,State,"Agriculture Department, Maharashtra",Government support for Namo Shetkari Mahasanmaan Nidhi Yojana (State Cash Support).,Farmers,Eligible farmers as per scheme guidelines.,Financial assistance / subsidy / technical support as applicable.,"Aadhaar, Land Record, Bank Passbook",Online,https://mahadbt.maharashtra.gov.in,Active
MHAG002,Pradhan Mantri Kisan Samman Nidhi (PM-KISAN),Direct Income Support & Institutional Agri-Credit,Central,Department of Agriculture & Farmers Welfare,Government support for Pradhan Mantri Kisan Samman Nidhi (PM-KISAN).,Farmers,Eligible farmers as per scheme guidelines.,Financial assistance / subsidy / technical support as applicable.,"Aadhaar, Land Record, Bank Passbook",Online,https://pmkisan.gov.in,Active
MHAG003,Mahatma Jyotirao Phule Shetkari Karjmukti Yojana (Loan Waiver Framework),Direct Income Support & Institutional Agri-Credit,Central,Department of Agriculture & Farmers Welfare,Government support for Mahatma Jyotirao Phule Shetkari Karjmukti Yojana (Loan Waiver Framework).,Farmers,Eligible farmers as per scheme guidelines.,Financial assistance / subsidy / technical support as applicable.,"Aadhaar, Land Record, Bank Passbook",Online,https://pmfby.gov.in,Active
MHAG004,Dr. Punjabrao Deshmukh Interest Subsidy Scheme (Up to ₹1 Lakh Interest Waiver),Direct Income Support & Institutional Agri-Credit,State,"Agriculture Department, Maharashtra",Government support for Dr. Punjabrao Deshmukh Interest Subsidy Scheme (Up to ₹1 Lakh Interest Waiver).,Farmers,Eligible farmers as per scheme guidelines.,Financial assistance / subsidy / technical support as applicable.,"Aadhaar, Land Record, Bank Passbook",Online,https://mahadbt.maharashtra.gov.in,Active
MHAG005,Dr. Punjabrao Deshmukh Interest Concession Scheme (₹1 Lakh to ₹3 Lakh Credit),Direct Income Support & Institutional Agri-Credit,State,"Agriculture Department, Maharashtra",Government support for Dr. Punjabrao Deshmukh Interest Concession Scheme (₹1 Lakh to ₹3 Lakh Credit).,Farmers,Eligible farmers as per scheme guidelines.,Financial assistance / subsidy / technical support as applicable.,"Aadhaar, Land Record, Bank Passbook",Online,https://mahadbt.maharashtra.gov.in,Active
MHAG006,"Maharashtra Crop Loan Timely Repayment Incentive Scheme (₹50,000 Cash Bonus)",Direct Income Support & Institutional Agri-Credit,State,"Agriculture Department, Maharashtra","Government support for Maharashtra Crop Loan Timely Repayment Incentive Scheme (₹50,000 Cash Bonus).",Farmers,Eligible farmers as per scheme guidelines.,Financial assistance / subsidy / technical support as applicable.,"Aadhaar, Land Record, Bank Passbook",Online,https://mahadbt.maharashtra.gov.in,Active
MHAG007,Gopinath Munde Shetkari Apghat Suraksha Sanugrah Anudan Yojana (Accident Relief),Direct Income Support & Institutional Agri-Credit,State,"Agriculture Department, Maharashtra",Government support for Gopinath Munde Shetkari Apghat Suraksha Sanugrah Anudan Yojana (Accident Relief).,Farmers,Eligible farmers as per scheme guidelines.,Financial assistance / subsidy / technical support as applicable.,"Aadhaar, Land Record, Bank Passbook",Online,https://mahadbt.maharashtra.gov.in,Active
MHAG008,Chief Minister Relief Fund for Drought-Affected Landholders,Direct Income Support & Institutional Agri-Credit,State,"Agriculture Department, Maharashtra",Government support for Chief Minister Relief Fund for Drought-Affected Landholders.,Farmers,Eligible farmers as per scheme guidelines.,Financial assistance / subsidy / technical support as applicable.,"Aadhaar, Land Record, Bank Passbook",Online,https://mahadbt.maharashtra.gov.in,Active
MHAG009,West Maharashtra Co-operative Credit Allocation Scheme,Direct Income Support & Institutional Agri-Credit,Central,Department of Agriculture & Farmers Welfare,Government support for West Maharashtra Co-operative Credit Allocation Scheme.,Farmers,Eligible farmers as per scheme guidelines.,Financial assistance / subsidy / technical support as applicable.,"Aadhaar, Land Record, Bank Passbook",Online,https://pmfby.gov.in,Active
MHAG010,Vidarbha-Marathwada Distressed Districts Special Input Subsidy,Direct Income Support & Institutional Agri-Credit,Central,Department of Agriculture & Farmers Welfare,Government support for Vidarbha-Marathwada Distressed Districts Special Input Subsidy.,Farmers,Eligible farmers as per scheme guidelines.,Financial assistance / subsidy / technical support as applicable.,"Aadhaar, Land Record, Bank Passbook",Online,https://pmfby.gov.in,Active
